,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS
1954-07-21,3.5,1.81,2.89,0,12.0705628171188,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.421738878582317,1,30.03,30.03,30.03,30.03,11.46183206,2.62,0.61,0,0,0.0,21.0089150330265,0.048040583,0.25
1954-07-22,3.5,1.81,2.89,0,12.166513926844699,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42518967121486106,2,30.27,30.27,30.27,30.27,11.55343511,2.62,0.61,0,0,0.0,21.1766607548746,0.047660997999999996,0.75
1954-07-23,3.5,1.82,2.89,0,12.1820740996616,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42583179864832,3,30.31,30.31,30.31,30.31,11.56870229,2.62,0.61,0,0,0.0,21.204486203714602,0.047599409,0.75
1954-07-26,3.5,1.82,2.89,0,12.1936143761151,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.426333557583691,4,30.34,30.34,30.34,30.34,11.58015267,2.62,0.61,0,0,0.0,21.2253150733618,0.047553650999999995,0.75
1954-07-27,3.5,1.82,2.89,0,12.2654363766636,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42894319010085796,5,30.52,30.52,30.52,30.52,11.64885496,2.62,0.61,1,0,0.0,21.3510797865552,0.04727449,0.38
1954-07-28,3.5,1.82,2.89,0,12.2890289192255,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.429866769854506,4,30.58,30.58,30.58,30.58,11.67175573,2.62,0.61,1,0,0.0,21.392893697190498,0.047183032,0.25
1954-07-29,3.5,1.82,2.89,0,12.332712276356302,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.431493379163519,3,30.69,30.69,30.69,30.69,11.71374046,2.62,0.61,1,0,0.0,21.469684939321102,0.047015210999999994,0.38
1954-07-30,3.5,1.82,2.89,0,12.408538829936699,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.434244514133789,2,30.88,30.88,30.88,30.88,11.78625954,2.62,0.61,1,0,0.0,21.602440025837698,0.046725933,0.25
1954-08-02,3.49,1.82,2.87,0,12.4522142794425,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.435871167863767,1,30.99,30.99,30.99,30.99,11.82824427,2.62,0.62,1,0,0.0,21.679228796139103,0.046560078,0.38
1954-08-03,3.49,1.82,2.87,0,12.4275809732693,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.43510708632675393,0,30.93,30.93,30.93,30.93,11.80534351,2.62,0.62,0,0,0.0,21.6370929800607,0.046650397999999996,0.25
1954-08-04,3.49,1.82,2.87,0,12.4150035663012,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.43476488945705705,0,30.9,30.9,30.9,30.9,11.79389313,2.62,0.62,0,0,0.0,21.615944280057203,0.04669569,0.13
1954-08-05,3.49,1.82,2.87,0,12.362251325871,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.43301562321692794,0,30.77,30.77,30.77,30.77,11.74427481,2.62,0.62,0,0,0.0,21.524842039392,0.046892974000000004,0.75
1954-08-06,3.49,1.82,2.87,0,12.20504992973,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42760714419404605,0,30.38,30.38,30.38,30.38,11.59541985,2.62,0.62,0,0,0.0,21.251862287351,0.047494958,1.38
1954-08-09,3.49,1.82,2.87,0,12.100086984135,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42402744113453,0,30.12,30.12,30.12,30.12,11.49618321,2.62,0.62,0,0,0.0,21.0698255730122,0.047904941,1.38
1954-08-10,3.49,1.82,2.87,0,12.2000066120691,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42762681331004604,0,30.37,30.37,30.37,30.37,11.59160305,2.62,0.62,0,0,0.0,21.2445490352925,0.047510597,1.44
1954-08-11,3.49,1.82,2.87,0,12.340087812702198,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.432634913564187,0,30.72,30.72,30.72,30.72,11.72519084,2.62,0.62,0,0,0.0,21.489221906802698,0.046969297,1.44
1954-08-12,3.49,1.82,2.87,0,12.323917712797899,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43088401751390204,0,30.59,30.59,30.59,30.59,11.67557252,2.62,0.62,0,0,-0.00297664472910597,21.461805366505,0.047168905,1.38
1954-08-13,3.49,1.82,2.87,0,12.375741561026,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43279509918308207,0,30.72,30.72,30.72,30.72,11.72519084,2.62,0.62,0,0,-0.00223248354682948,21.5528001829674,0.046969297,1.44
1954-08-16,3.49,1.82,2.87,0,12.5081289048423,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43752421311528206,0,31.05,31.05,31.05,31.05,11.85114504,2.62,0.62,0,0,-0.00148832236455299,21.784109701485,0.046470107000000004,1.38
1954-08-17,3.49,1.82,2.87,0,12.5357716355065,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43859054037827605,0,31.12,31.12,31.12,31.12,11.877862599999998,2.62,0.62,0,0,-0.000744161182276493,21.833005405992303,0.046365579000000004,1.38
1954-08-18,3.49,1.82,2.87,0,12.523132102583599,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.438247710290137,0,31.09,31.09,31.09,31.09,11.86641221,2.62,0.62,0,0,0.0,21.81174353783,0.046410319000000005,1.44
1954-08-19,3.49,1.82,2.87,0,12.550772607516599,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43931442523589903,0,31.16,31.16,31.16,31.16,11.89312977,2.62,0.62,0,0,0.0,21.8606383517473,0.04630606,1.38
1954-08-20,3.49,1.71,2.87,0,12.570315268838199,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.44009936295382895,1,31.21,31.21,31.21,31.21,11.86692015,2.63,0.62,0,0,0.0,21.895501296065802,0.046231875,1.44
1954-08-23,3.49,1.71,2.87,0,12.4851424553264,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.437218124829221,2,31.0,31.0,31.0,31.0,11.78707224,2.63,0.62,0,0,0.0,21.7479614701438,0.04654505900000001,1.44
1954-08-24,3.49,1.71,2.87,0,12.4321963850069,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43546466319961896,3,30.87,30.87,30.87,30.87,11.73764259,2.63,0.62,0,0,0.0,21.656547931358197,0.04674107,1.38
1954-08-25,3.49,1.71,2.87,0,12.3430120456269,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.432441301997543,4,30.65,30.65,30.65,30.65,11.6539924,2.63,0.62,0,0,0.0,21.501998350254002,0.047076568,1.38
1954-08-26,3.49,1.71,2.87,0,12.310213120768301,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43139264285684104,5,30.57,30.57,30.57,30.57,11.62357414,2.63,0.62,1,0,0.0,21.445665678220198,0.047199765,1.25
1954-08-27,3.49,1.71,2.87,0,12.345871715571699,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43274276952676094,4,30.66,30.66,30.66,30.66,11.65779468,2.63,0.62,1,0,0.0,21.5085926182315,0.047061214000000004,1.25
1954-08-30,3.49,1.71,2.87,0,12.2204668892858,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.428447443909465,3,30.35,30.35,30.35,30.35,11.53992395,2.63,0.62,1,0,0.0,21.2909133771307,0.047541905,1.44
1954-08-31,3.49,1.71,2.87,0,12.0105215780535,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.42118677370409,2,29.83,29.83,29.83,29.83,11.34220532,2.63,0.62,1,0,0.0,20.925922308745,0.048370660999999995,1.44
1954-09-01,3.47,1.71,2.89,0,12.0945042463952,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.424232005251927,1,30.04,30.04,30.04,30.04,11.42205323,2.63,0.58,1,0,0.0,21.073032872559303,0.048032517000000004,1.44
1954-09-02,3.47,1.71,2.89,0,12.186531344331998,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.42756025800992603,0,30.27,30.27,30.27,30.27,11.509505699999998,2.63,0.58,0,0,0.0,21.2341705752512,0.047667553,1.38
1954-09-03,3.47,1.71,2.89,0,12.278550237017901,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43088913422351705,0,30.5,30.5,30.5,30.5,11.59695817,2.63,0.58,0,0,0.0,21.3953053021681,0.047308092,1.38
1954-09-07,3.47,1.71,2.89,0,12.342381981343,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43322970533191896,0,30.66,30.66,30.66,30.66,11.65779468,2.63,0.58,0,0,0.0,21.5073335553057,0.047061214000000004,1.13
1954-09-08,3.47,1.71,2.89,0,12.349852929193801,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.433592489708904,0,30.68,30.68,30.68,30.68,11.66539924,2.63,0.58,0,0,0.0,21.521153748277303,0.047030535,0.88
